STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,DATE_LAST_UPDATE,TYPE_LAST_UPDATE,DEDUCT_CODE,REMARKS,PROGRAM_CODE,PROJ_NO,PROJ_SUFFIX,NBI_TYPE_OF_IMP,DTL_TYPE_OF_IMP,SPECIAL_CODE,STEP_CODE,STATUS_WITH_10YR_RULE,SUFFICIENCY_ASTERC,SUFFICIENCY_RATING,STATUS_NO_10YR_RULE,CAT10,CAT23,CAT29
6,      12 0154R ,1,3,1,99,0,3,7,13014,'LINDO CHANNEL           ',,'STATE ROUTE 99 NB ','03-BUT-099-R33.87-CHC    ',99.99,33.87,1,99,1,39450415,121502151,2,3,1,1,12,1966,2,0,24750,2009,5,11.6,0,20,0,0,0,1,1,5,0,0,0,A,1,5,2,4,0,0,5,0,11.5,14,64.6,0,0,11.5,12.1,99.99,N,0,N,0,0,7,8,8,8,N,8,37.6,8,28.8,7,5,N,5,8,8,,,,316,24,N  ,N  ,N  ,,,,,,,,,,,0,R,1,,1,0,0,1,6,0,0,7,0,,Y,5,45242,2034,,N,5/2/17,B,Z ,,,,,,,,,0,,93.4,0,G,7,781.66
6,      12 0156L ,1,3,1,99,0,3,7,0,'MUD CREEK               ',,'STATE ROUTE 99 SB ','03-BUT-099-R37.20        ',99.99,37.2,1,99,1,39470196,121530607,3,3,1,1,2,1966,2,0,9500,2009,5,11.3,0,20,0,0,1,1,1,5,0,0,0,A,1,5,2,4,0,0,6,0,8.6,14,77.7,0.6,0.6,8.6,10.4,99.99,N,0,N,0,0,7,5,7,8,N,8,42.4,8,30.1,5,3,N,5,8,8,35,1,77.7,316,24,N  ,N  ,N  ,,,,808,161,1357,2017,,,,0,L,1,,1,0,0,1,2,0,0,0,0,,Y,5,16991,2034,,N,6/1/18,B,A ,,,,,,,,,2,,66.8,2,F,5,808.08
6,      12 0156R ,1,3,1,99,0,3,7,0,'MUD CREEK               ',,'STATE ROUTE 99 NB ','03-BUT-099-R37.20        ',99.99,37.2,1,99,1,39470226,121530519,11,3,1,1,2,1966,2,0,9500,2009,5,11,0,20,0,0,0,1,1,5,0,0,0,A,1,5,2,4,0,0,6,0,8.5,14,77.7,0.6,0.6,8.5,10.3,99.99,N,0,N,0,0,5,7,7,8,N,8,42.4,8,30.1,7,3,N,5,8,8,35,1,77.7,316,24,N  ,N  ,N  ,,,,805,161,1352,2017,,,,0,R,1,,1,0,0,1,2,0,0,0,0,,Y,5,16991,2034,,N,6/1/18,B,A ,,,,,,,,,2,,71.3,2,F,5,800.31
6,      12 0157L ,1,3,1,99,0,3,7,13014,'BIKE PATH               ',,'STATE ROUTE 99 SB ','03-BUT-099-R34.63-CHC    ',99.99,34.63,1,99,1,39452687,121510350,3,3,1,1,12,1966,2,0,24750,2009,5,11.5,0,22,0,0,0,1,1,5,N,0,0,A,1,3,2,4,0,0,3,0,11.5,13.1,34.1,0,0,11.5,12.1,99.99,N,0,N,0,0,7,8,8,N,N,8,36.9,8,28.5,7,5,N,5,N,8,,,,316,24,N  ,N  ,N  ,,,,,,,,,,,0,L,1,,1,0,0,1,2,0,0,7,0,,Y,N,45242,2034,,N,5/2/17,B,Z ,,,,,,,,,0,,91.9,0,G,7,412.61
6,      12 0157R ,1,3,1,99,0,3,7,13014,'BIKE PATH               ',,'STATE ROUTE 99 NB ','03-BUT-099-R34.63-CHC    ',99.99,34.63,1,99,1,39452764,121510326,2,3,1,1,12,1966,2,0,24750,2009,5,11.5,0,22,0,0,0,1,1,5,N,0,0,A,1,3,2,4,0,0,3,0,11.5,13.1,34.1,0,0,11.5,12.1,99.99,N,0,N,0,0,7,8,8,N,N,8,36.9,8,28.5,7,5,N,5,N,8,,,,316,24,N  ,N  ,N  ,,,,,,,,,,,0,R,1,,1,0,0,1,2,0,0,7,0,,Y,N,45242,2034,,N,5/2/17,B,Z ,,,,,,,,,0,,93.1,0,G,7,412.61
6,      12 0158L ,1,3,1,99,0,3,7,13014,'EAST AVENUE             ',,'STATE ROUTE 99 SB ','03-BUT-099-R34.93-CHC    ',99.99,34.93,1,99,1,39453626,121511959,0,3,1,1,12,1966,2,5,14250,2009,5,11.5,0,9,0,0,1,1,1,5,N,0,0,A,1,1,2,4,0,0,3,0,11.5,19.5,39.6,0,0,11.5,12.1,99.99,H,5.31,H,0,0,7,8,7,N,N,8,34.3,8,26.6,6,5,3,5,N,8,,,,316,24,N  ,N  ,N  ,,,,,,,,,,,0,L,1,,1,0,0,1,2,0,0,12,0,,Y,N,26894,2036,,N,5/2/17,B,A ,,,,,,,,,2,,90.5,2,G,7,479.16
6,      12 0158R ,1,3,1,99,0,3,7,13014,'EAST AVENUE             ',,'STATE ROUTE 99 NB ','03-BUT-099-R34.93-CHC    ',99.99,34.93,1,99,1,39453660,121511873,0,3,1,1,12,1966,2,4,14250,2009,5,11.5,0,9,0,0,1,1,1,5,N,0,0,A,1,1,2,4,0,0,3,0,11.5,19.5,39.6,0,0,11.5,12.1,99.99,H,4.92,H,0.1,0,7,8,7,N,N,8,34.3,8,26.6,6,5,3,5,N,8,,,,316,24,N  ,N  ,N  ,,,,,,,,,,,0,R,1,,1,0,0,1,2,0,0,12,0,,Y,N,26894,2036,,N,5/2/17,B,A ,,,,,,,,,2,,90.5,2,G,7,479.16
6,      12 0159L ,1,3,1,99,0,3,7,0,'LASSEN AVE              ',,'STATE ROUTE 99 SB ','03-BUT-099-R35.31        ',99.99,35.31,1,99,1,39455050,121513756,2,3,1,1,12,1966,2,2,14250,2009,5,11.5,0,6,0,0,0,1,1,5,N,0,0,A,1,1,2,4,0,0,3,0,11.5,15.8,33.5,0,0,11.5,12.1,99.99,H,4.83,H,4.3,0,7,8,7,N,N,8,36,8,26.9,6,5,7,5,N,8,,,,316,24,N  ,N  ,N  ,,,,,,,,,,,0,L,1,,1,0,0,1,0,0,0,12,0,,Y,N,26715,2034,,N,5/2/17,B,Z ,,,,,,,,,0,,92.4,0,G,7,405.35
6,      12 0159R ,1,3,1,99,0,3,7,0,'LASSEN AVE              ',,'STATE ROUTE 99 NB ','03-BUT-099-R35.31        ',99.99,35.31,1,99,1,39455094,121513682,2,3,1,1,12,1966,2,2,14250,2009,5,11.5,0,6,0,0,0,1,1,5,N,0,0,A,1,1,2,4,0,0,3,0,11.5,15.8,33.5,0,0,11.5,12.1,99.99,H,4.77,H,4.4,0,7,8,7,N,N,8,36,8,26.9,6,5,7,5,N,8,,,,316,24,N  ,N  ,N  ,,,,,,,,,,,0,R,1,,1,0,0,1,0,0,0,12,0,,Y,N,26715,2034,,N,5/2/17,B,Z ,,,,,,,,,0,,92.4,0,G,7,405.35
6,      12 0160  ,1,4,0,0,0,3,7,0,'STATE ROUTE 99          ',,'EATON AVE         ','03-BUT-099-R36.31        ',4.75,0,0,,0,39462773,121522471,5,3,1,1,16,1966,2,4,5400,2010,5,8.8,0,6,0,1,0,0,0,5,N,0,0,A,5,1,2,4,0,0,4,0,10,18,53.6,0,1.5,10,12.3,99.99,H,4.72,H,3.1,6.6,7,8,8,N,N,8,30.1,8,23.3,5,4,4,5,N,8,,,,316,24,N  ,N  ,N  ,,,,,,,,,,,0,N,2,,0,0,0,1,0,0,0,10,0,,Y,N,9243,2038,,N,5/2/17,B,Z ,,,,,,,,,0,,82.6,0,G,7,659.28
